"filename", "language", "XML", "CSV", "Java", "JSON", "comment", "blank", "total"
"d:\java\scrap\demo_scrap\pom.xml", "XML", 113, 0, 0, 0, 1, 24, 138
"d:\java\scrap\demo_scrap\src\main\java\com\ai\Classifier.java", "Java", 0, 0, 72, 0, 2, 18, 92
"d:\java\scrap\demo_scrap\src\main\java\com\ai\Project2.java", "Java", 0, 0, 53, 0, 10, 13, 76
"d:\java\scrap\demo_scrap\src\main\java\com\chartpages\ChartPage.java", "Java", 0, 0, 7, 0, 0, 4, 11
"d:\java\scrap\demo_scrap\src\main\java\com\chartpages\ChartPage1.java", "Java", 0, 0, 26, 0, 6, 19, 51
"d:\java\scrap\demo_scrap\src\main\java\com\chartpages\ChartPage10.java", "Java", 0, 0, 40, 0, 12, 15, 67
"d:\java\scrap\demo_scrap\src\main\java\com\chartpages\ChartPage2.java", "Java", 0, 0, 24, 0, 5, 12, 41
"d:\java\scrap\demo_scrap\src\main\java\com\chartpages\ChartPage3.java", "Java", 0, 0, 32, 0, 8, 17, 57
"d:\java\scrap\demo_scrap\src\main\java\com\chartpages\ChartPage4.java", "Java", 0, 0, 34, 0, 9, 15, 58
"d:\java\scrap\demo_scrap\src\main\java\com\chartpages\ChartPage5.java", "Java", 0, 0, 32, 0, 6, 18, 56
"d:\java\scrap\demo_scrap\src\main\java\com\chartpages\ChartPage6.java", "Java", 0, 0, 34, 0, 10, 14, 58
"d:\java\scrap\demo_scrap\src\main\java\com\chartpages\ChartPage7.java", "Java", 0, 0, 40, 0, 12, 15, 67
"d:\java\scrap\demo_scrap\src\main\java\com\chartpages\ChartPage8.java", "Java", 0, 0, 40, 0, 12, 15, 67
"d:\java\scrap\demo_scrap\src\main\java\com\chartpages\ChartPage9.java", "Java", 0, 0, 40, 0, 12, 15, 67
"d:\java\scrap\demo_scrap\src\main\java\com\dataTreatment\DataTreatment.java", "Java", 0, 0, 60, 0, 6, 13, 79
"d:\java\scrap\demo_scrap\src\main\java\com\db\DatabaseConnection.java", "Java", 0, 0, 34, 0, 2, 10, 46
"d:\java\scrap\demo_scrap\src\main\java\com\db\DatabaseServices.java", "Java", 0, 0, 357, 0, 20, 56, 433
"d:\java\scrap\demo_scrap\src\main\java\com\main\Job.java", "Java", 0, 0, 227, 0, 4, 57, 288
"d:\java\scrap\demo_scrap\src\main\java\com\main\Main.java", "Java", 0, 0, 21, 0, 47, 40, 108
"d:\java\scrap\demo_scrap\src\main\java\com\main\TestJob.java", "Java", 0, 0, 57, 0, 0, 17, 74
"d:\java\scrap\demo_scrap\src\main\java\com\parsers\Parser.java", "Java", 0, 0, 398, 0, 31, 51, 480
"d:\java\scrap\demo_scrap\src\main\java\com\parsers\emploi\EmploiParsers.java", "Java", 0, 0, 124, 0, 9, 34, 167
"d:\java\scrap\demo_scrap\src\main\java\com\parsers\mjobs\MjobParsers.java", "Java", 0, 0, 138, 0, 11, 40, 189
"d:\java\scrap\demo_scrap\src\main\java\com\parsers\rekrute\RekruteParsers.java", "Java", 0, 0, 171, 0, 12, 30, 213
"d:\java\scrap\demo_scrap\src\main\java\com\scrap\EmploiScrapper.java", "Java", 0, 0, 117, 0, 5, 33, 155
"d:\java\scrap\demo_scrap\src\main\java\com\scrap\MJob.java", "Java", 0, 0, 143, 0, 5, 32, 180
"d:\java\scrap\demo_scrap\src\main\java\com\scrap\RekruteScrapper.java", "Java", 0, 0, 102, 0, 2, 14, 118
"d:\java\scrap\demo_scrap\src\main\java\com\scrap\Scrapper.java", "Java", 0, 0, 34, 0, 0, 15, 49
"d:\java\scrap\demo_scrap\src\main\java\com\ui\MainInterface.java", "Java", 0, 0, 155, 0, 13, 28, 196
"d:\java\scrap\demo_scrap\src\main\java\com\ui\dashboard\DashboardApp.java", "Java", 0, 0, 127, 0, 11, 30, 168
"d:\java\scrap\demo_scrap\src\main\java\com\ui\dashboard\MainPage.java", "Java", 0, 0, 387, 0, 38, 98, 523
"d:\java\scrap\demo_scrap\src\main\java\com\ui\dashboard\OverviewPage.java", "Java", 0, 0, 237, 0, 20, 44, 301
"d:\java\scrap\demo_scrap\src\main\java\com\ui\dashboard\SearchPage.java", "Java", 0, 0, 81, 0, 3, 22, 106
"d:\java\scrap\demo_scrap\src\main\java\com\utils\JsonHandler.java", "Java", 0, 0, 60, 0, 0, 11, 71
"d:\java\scrap\demo_scrap\src\main\resources\csv\data.csv", "CSV", 0, 2043, 0, 0, 0, 1, 2044
"d:\java\scrap\demo_scrap\src\main\resources\emploi.json", "JSON", 0, 0, 0, 13177, 0, 0, 13177
"d:\java\scrap\demo_scrap\src\main\resources\mjobs.json", "JSON", 0, 0, 0, 7105, 0, 0, 7105
"d:\java\scrap\demo_scrap\src\main\resources\rekrute.json", "JSON", 0, 0, 0, 32137, 0, 0, 32137
"Total", "-", 113, 2043, 3504, 52419, 344, 890, 59313
